OLKCGABB_06975	Cry32Qa1	58.0	1300	464	27	1	1253	18	1282	0.0e+00	1359.7
OLKCGABB_02095	Cry32Ra1	63.8	1264	413	18	1	1243	1	1241	0.0e+00	1493.0
OLKCGABB_02226	Cry32Ua1	60.0	1264	448	18	1	1244	1	1227	0.0e+00	1358.6
OLKCGABB_06992	Cry32Cb1	62.6	1261	423	17	1	1236	1	1237	0.0e+00	1473.4
OLKCGABB_02300	Cry32Ja1	70.9	1267	339	11	1	1248	1	1256	0.0e+00	1730.7
OLKCGABB_02208	Cry32Eb1	69.4	1274	341	14	1	1252	1	1247	0.0e+00	1725.3
OLKCGABB_02281	Cry32Cb1	80.8	1257	219	6	1	1242	1	1250	0.0e+00	2009.6
OLKCGABB_02296	Cry32La1	75.9	1272	270	8	4	1273	4	1240	0.0e+00	1936.4
OLKCGABB_02119	Cry32Ab1	70.8	996	242	8	6	982	5	970	0.0e+00	1409.0
OLKCGABB_01046	Cry32Ta1	48.0	677	295	16	1	636	14	674	5.0e-158	551.2
